case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-0.6-15.0-60D_30,0.376517E-01,0.376517E-01
case_files\Case1-0.6-15.25-60D_30,0.376217E-01,0.376217E-01
case_files\Case1-0.6-15.5-60D_30,0.375907E-01,0.375907E-01
case_files\Case1-0.6-15.75-60D_30,0.375588E-01,0.375588E-01
case_files\Case1-0.6-16.0-60D_30,0.375260E-01,0.375260E-01
case_files\Case1-0.6-16.25-60D_30,0.374924E-01,0.374924E-01
case_files\Case1-0.6-16.5-60D_30,0.374581E-01,0.374581E-01
case_files\Case1-0.6-16.75-60D_30,0.374230E-01,0.374230E-01
case_files\Case1-0.6-17.0-60D_30,0.373870E-01,0.373870E-01
case_files\Case1-0.625-8.0-60D_30,0.346788E-01,0.346788E-01
case_files\Case1-0.625-8.25-60D_30,0.347357E-01,0.347357E-01
case_files\Case1-0.625-8.5-60D_30,0.347865E-01,0.347865E-01
case_files\Case1-0.625-8.75-60D_30,0.348319E-01,0.348319E-01
case_files\Case1-0.625-9.0-60D_30,0.348720E-01,0.348720E-01
case_files\Case1-0.625-9.25-60D_30,0.349075E-01,0.349075E-01
case_files\Case1-0.625-9.5-60D_30,0.349386E-01,0.349386E-01
case_files\Case1-0.625-9.75-60D_30,0.349656E-01,0.349656E-01
case_files\Case1-0.625-10.0-60D_30,0.349888E-01,0.349888E-01
case_files\Case1-0.625-10.25-60D_30,0.350085E-01,0.350085E-01
case_files\Case1-0.625-10.5-60D_30,0.350248E-01,0.350248E-01
case_files\Case1-0.625-10.75-60D_30,0.350381E-01,0.350381E-01
case_files\Case1-0.625-11.0-60D_30,0.350485E-01,0.350485E-01
case_files\Case1-0.625-11.25-60D_30,0.350562E-01,0.350562E-01
case_files\Case1-0.625-11.5-60D_30,0.350613E-01,0.350613E-01
case_files\Case1-0.625-11.75-60D_30,0.350641E-01,0.350641E-01
case_files\Case1-0.625-12.0-60D_30,0.350646E-01,0.350646E-01
case_files\Case1-0.625-12.25-60D_30,0.350630E-01,0.350630E-01
case_files\Case1-0.625-12.5-60D_30,0.350594E-01,0.350594E-01
case_files\Case1-0.625-12.75-60D_30,0.350539E-01,0.350539E-01
case_files\Case1-0.625-13.0-60D_30,0.350466E-01,0.350466E-01
case_files\Case1-0.625-13.25-60D_30,0.350377E-01,0.350377E-01
case_files\Case1-0.625-13.5-60D_30,0.350271E-01,0.350271E-01
case_files\Case1-0.625-13.75-60D_30,0.350151E-01,0.350151E-01
case_files\Case1-0.625-14.0-60D_30,0.350015E-01,0.350015E-01
case_files\Case1-0.625-14.25-60D_30,0.349866E-01,0.349866E-01
case_files\Case1-0.625-14.5-60D_30,0.349704E-01,0.349704E-01
case_files\Case1-0.625-14.75-60D_30,0.349529E-01,0.349529E-01
case_files\Case1-0.625-15.0-60D_30,0.349344E-01,0.349344E-01
case_files\Case1-0.625-15.25-60D_30,0.349147E-01,0.349147E-01
case_files\Case1-0.625-15.5-60D_30,0.348940E-01,0.348940E-01
case_files\Case1-0.625-15.75-60D_30,0.348724E-01,0.348724E-01
case_files\Case1-0.625-16.0-60D_30,0.348497E-01,0.348497E-01
case_files\Case1-0.625-16.25-60D_30,0.348262E-01,0.348262E-01
case_files\Case1-0.625-16.5-60D_30,0.348016E-01,0.348016E-01
case_files\Case1-0.625-16.75-60D_30,0.347763E-01,0.347763E-01
case_files\Case1-0.625-17.0-60D_30,0.347501E-01,0.347501E-01
case_files\Case1-0.65-8.0-60D_30,0.319253E-01,0.319253E-01
case_files\Case1-0.65-8.25-60D_30,0.319922E-01,0.319922E-01
case_files\Case1-0.65-8.5-60D_30,0.320531E-01,0.320531E-01
case_files\Case1-0.65-8.75-60D_30,0.321085E-01,0.321085E-01
case_files\Case1-0.65-9.0-60D_30,0.321588E-01,0.321588E-01
case_files\Case1-0.65-9.25-60D_30,0.322042E-01,0.322042E-01
case_files\Case1-0.65-9.5-60D_30,0.322453E-01,0.322453E-01
case_files\Case1-0.65-9.75-60D_30,0.322821E-01,0.322821E-01
case_files\Case1-0.65-10.0-60D_30,0.323151E-01,0.323151E-01
case_files\Case1-0.65-10.25-60D_30,0.323445E-01,0.323445E-01
case_files\Case1-0.65-10.5-60D_30,0.323706E-01,0.323706E-01
case_files\Case1-0.65-10.75-60D_30,0.323935E-01,0.323935E-01
case_files\Case1-0.65-11.0-60D_30,0.324134E-01,0.324134E-01
case_files\Case1-0.65-11.25-60D_30,0.324305E-01,0.324305E-01
case_files\Case1-0.65-11.5-60D_30,0.324450E-01,0.324450E-01
case_files\Case1-0.65-11.75-60D_30,0.324570E-01,0.324570E-01
case_files\Case1-0.65-12.0-60D_30,0.324666E-01,0.324666E-01
case_files\Case1-0.65-12.25-60D_30,0.324742E-01,0.324742E-01
case_files\Case1-0.65-12.5-60D_30,0.324798E-01,0.324798E-01
case_files\Case1-0.65-12.75-60D_30,0.324833E-01,0.324833E-01
case_files\Case1-0.65-13.0-60D_30,0.324850E-01,0.324850E-01
case_files\Case1-0.65-13.25-60D_30,0.324850E-01,0.324850E-01
case_files\Case1-0.65-13.5-60D_30,0.324834E-01,0.324834E-01
case_files\Case1-0.65-13.75-60D_30,0.324802E-01,0.324802E-01
case_files\Case1-0.65-14.0-60D_30,0.324755E-01,0.324755E-01
case_files\Case1-0.65-14.25-60D_30,0.324694E-01,0.324694E-01
case_files\Case1-0.65-14.5-60D_30,0.324619E-01,0.324619E-01
case_files\Case1-0.65-14.75-60D_30,0.324533E-01,0.324533E-01
case_files\Case1-0.65-15.0-60D_30,0.324434E-01,0.324434E-01
case_files\Case1-0.65-15.25-60D_30,0.324324E-01,0.324324E-01
case_files\Case1-0.65-15.5-60D_30,0.324203E-01,0.324203E-01
case_files\Case1-0.65-15.75-60D_30,0.324071E-01,0.324071E-01
case_files\Case1-0.65-16.0-60D_30,0.323930E-01,0.323930E-01
case_files\Case1-0.65-16.25-60D_30,0.323780E-01,0.323780E-01
